# Region type : patch outlet
# Faces         : 8
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
342.5           	8.62197049e-01
343             	8.62813652e-01
343.5           	8.63427700e-01
344             	8.64039207e-01
344.5           	8.64648189e-01
345             	8.65254660e-01
345.5           	8.65858634e-01
346             	8.66460125e-01
346.5           	8.67059147e-01
347             	8.67655715e-01
347.5           	8.68249842e-01
348             	8.68841541e-01
348.5           	8.69430827e-01
349             	8.70017712e-01
349.5           	8.70602210e-01
350             	8.71184335e-01
350.5           	8.71764099e-01
351             	8.72341515e-01
351.5           	8.72916597e-01
352             	8.73489357e-01
352.5           	8.74059807e-01
353             	8.74627961e-01
353.5           	8.75193831e-01
354             	8.75757429e-01
354.5           	8.76318768e-01
355             	8.76877859e-01
355.5           	8.77434715e-01
356             	8.77989349e-01
356.5           	8.78541770e-01
357             	8.79091993e-01
357.5           	8.79640028e-01
358             	8.80185886e-01
358.5           	8.80729580e-01
359             	8.81271121e-01
359.5           	8.81810521e-01
360             	8.82347790e-01
360.5           	8.82882940e-01
361             	8.83415981e-01
361.5           	8.83946926e-01
362             	8.84475784e-01
362.5           	8.85002567e-01
363             	8.85527286e-01
363.5           	8.86049951e-01
364             	8.86570573e-01
364.5           	8.87089162e-01
365             	8.87605729e-01
365.5           	8.88120285e-01
366             	8.88632839e-01
366.5           	8.89143402e-01
367             	8.89651984e-01
367.5           	8.90158595e-01
368             	8.90663245e-01
368.5           	8.91165945e-01
369             	8.91666703e-01
369.5           	8.92165531e-01
370             	8.92662437e-01
370.5           	8.93157431e-01
371             	8.93650524e-01
371.5           	8.94141724e-01
372             	8.94631041e-01
372.5           	8.95118484e-01
373             	8.95604063e-01
373.5           	8.96087787e-01
374             	8.96569666e-01
374.5           	8.97049708e-01
375             	8.97527923e-01
375.5           	8.98004319e-01
376             	8.98478906e-01
376.5           	8.98951693e-01
377             	8.99422688e-01
377.5           	8.99891900e-01
378             	9.00359339e-01
378.5           	9.00825012e-01
379             	9.01288928e-01
379.5           	9.01751097e-01
380             	9.02211526e-01
380.5           	9.02670224e-01
381             	9.03127199e-01
381.5           	9.03582461e-01
382             	9.04036016e-01
382.5           	9.04487873e-01
383             	9.04938042e-01
383.5           	9.05386528e-01
384             	9.05833342e-01
384.5           	9.06278491e-01
385             	9.06721982e-01
385.5           	9.07163824e-01
386             	9.07604025e-01
386.5           	9.08042592e-01
387             	9.08479534e-01
387.5           	9.08914857e-01
388             	9.09348571e-01
388.5           	9.09780682e-01
389             	9.10211198e-01
389.5           	9.10640126e-01
390             	9.11067475e-01
390.5           	9.11493251e-01
391             	9.11917462e-01
391.5           	9.12340115e-01
392             	9.12761218e-01
392.5           	9.13180778e-01
393             	9.13598803e-01
393.5           	9.14015298e-01
394             	9.14430272e-01
394.5           	9.14843732e-01
395             	9.15255684e-01
395.5           	9.15666136e-01
396             	9.16075094e-01
396.5           	9.16482566e-01
397             	9.16888559e-01
397.5           	9.17293079e-01
398             	9.17696133e-01
398.5           	9.18097727e-01
399             	9.18497870e-01
399.5           	9.18896566e-01
400             	9.19293823e-01
400.5           	9.19689648e-01
401             	9.20084047e-01
401.5           	9.20477026e-01
402             	9.20868592e-01
402.5           	9.21258752e-01
403             	9.21647511e-01
403.5           	9.22034877e-01
404             	9.22420855e-01
404.5           	9.22805452e-01
405             	9.23188674e-01
405.5           	9.23570527e-01
406             	9.23951017e-01
406.5           	9.24330151e-01
407             	9.24707935e-01
407.5           	9.25084374e-01
408             	9.25459475e-01
408.5           	9.25833243e-01
409             	9.26205685e-01
409.5           	9.26576807e-01
410             	9.26946613e-01
410.5           	9.27315111e-01
411             	9.27682307e-01
411.5           	9.28048204e-01
412             	9.28412811e-01
412.5           	9.28776131e-01
413             	9.29138172e-01
413.5           	9.29498937e-01
414             	9.29858434e-01
414.5           	9.30216668e-01
415             	9.30573644e-01
415.5           	9.30929367e-01
416             	9.31283844e-01
416.5           	9.31637079e-01
417             	9.31989078e-01
417.5           	9.32339846e-01
418             	9.32689389e-01
418.5           	9.33037712e-01
419             	9.33384820e-01
419.5           	9.33730719e-01
420             	9.34075413e-01
420.5           	9.34418908e-01
421             	9.34761209e-01
421.5           	9.35102321e-01
422             	9.35442250e-01
422.5           	9.35780999e-01
423             	9.36118575e-01
423.5           	9.36454981e-01
424             	9.36790224e-01
424.5           	9.37124309e-01
425             	9.37457239e-01
425.5           	9.37789020e-01
426             	9.38119656e-01
426.5           	9.38449153e-01
427             	9.38777516e-01
427.5           	9.39104748e-01
428             	9.39430855e-01
428.5           	9.39755842e-01
429             	9.40079713e-01
429.5           	9.40402473e-01
430             	9.40724126e-01
430.5           	9.41044676e-01
431             	9.41364130e-01
431.5           	9.41682490e-01
432             	9.41999763e-01
432.5           	9.42315951e-01
433             	9.42631059e-01
433.5           	9.42945093e-01
434             	9.43258056e-01
434.5           	9.43569952e-01
435             	9.43880787e-01
435.5           	9.44190563e-01
436             	9.44499287e-01
436.5           	9.44806961e-01
437             	9.45113591e-01
437.5           	9.45419180e-01
438             	9.45723732e-01
438.5           	9.46027252e-01
439             	9.46329744e-01
439.5           	9.46631212e-01
440             	9.46931660e-01
440.5           	9.47231092e-01
441             	9.47529512e-01
441.5           	9.47826925e-01
442             	9.48123334e-01
442.5           	9.48418742e-01
443             	9.48713155e-01
443.5           	9.49006576e-01
444             	9.49299009e-01
444.5           	9.49590458e-01
445             	9.49880927e-01
445.5           	9.50170419e-01
446             	9.50458938e-01
446.5           	9.50746488e-01
447             	9.51033074e-01
447.5           	9.51318698e-01
448             	9.51603364e-01
448.5           	9.51887076e-01
449             	9.52169839e-01
449.5           	9.52451654e-01
450             	9.52732527e-01
450.5           	9.53012460e-01
451             	9.53291458e-01
451.5           	9.53569523e-01
452             	9.53846660e-01
452.5           	9.54122872e-01
453             	9.54398162e-01
453.5           	9.54672534e-01
454             	9.54945991e-01
454.5           	9.55218538e-01
455             	9.55490176e-01
455.5           	9.55760910e-01
456             	9.56030744e-01
456.5           	9.56299680e-01
457             	9.56567722e-01
457.5           	9.56834872e-01
458             	9.57101136e-01
458.5           	9.57366515e-01
459             	9.57631013e-01
459.5           	9.57894634e-01
460             	9.58157380e-01
460.5           	9.58419254e-01
461             	9.58680261e-01
461.5           	9.58940403e-01
462             	9.59199683e-01
462.5           	9.59458105e-01
463             	9.59715671e-01
463.5           	9.59972385e-01
464             	9.60228250e-01
464.5           	9.60483269e-01
465             	9.60737444e-01
465.5           	9.60990780e-01
466             	9.61243278e-01
466.5           	9.61494943e-01
467             	9.61745777e-01
467.5           	9.61995782e-01
468             	9.62244962e-01
468.5           	9.62493321e-01
469             	9.62740860e-01
469.5           	9.62987582e-01
470             	9.63233492e-01
470.5           	9.63478590e-01
471             	9.63722881e-01
471.5           	9.63966367e-01
472             	9.64209051e-01
472.5           	9.64450936e-01
473             	9.64692024e-01
473.5           	9.64932318e-01
474             	9.65171822e-01
474.5           	9.65410537e-01
475             	9.65648466e-01
475.5           	9.65885613e-01
476             	9.66121980e-01
476.5           	9.66357569e-01
477             	9.66592384e-01
477.5           	9.66826426e-01
478             	9.67059699e-01
478.5           	9.67292205e-01
479             	9.67523947e-01
479.5           	9.67754927e-01
480             	9.67985148e-01
480.5           	9.68214612e-01
481             	9.68443322e-01
481.5           	9.68671281e-01
482             	9.68898490e-01
482.5           	9.69124953e-01
483             	9.69350672e-01
483.5           	9.69575649e-01
484             	9.69799888e-01
484.5           	9.70023389e-01
485             	9.70246156e-01
485.5           	9.70468192e-01
486             	9.70689497e-01
486.5           	9.70910076e-01
487             	9.71129930e-01
487.5           	9.71349062e-01
488             	9.71567473e-01
488.5           	9.71785167e-01
489             	9.72002146e-01
489.5           	9.72218411e-01
490             	9.72433966e-01
490.5           	9.72648812e-01
491             	9.72862952e-01
491.5           	9.73076387e-01
492             	9.73289121e-01
492.5           	9.73501156e-01
493             	9.73712493e-01
493.5           	9.73923135e-01
494             	9.74133084e-01
494.5           	9.74342343e-01
495             	9.74550913e-01
495.5           	9.74758796e-01
496             	9.74965995e-01
496.5           	9.75172512e-01
497             	9.75378349e-01
497.5           	9.75583508e-01
498             	9.75787991e-01
498.5           	9.75991801e-01
499             	9.76194939e-01
499.5           	9.76397407e-01
500             	9.76599208e-01
500.5           	9.76800343e-01
501             	9.77000816e-01
501.5           	9.77200626e-01
502             	9.77399778e-01
502.5           	9.77598272e-01
503             	9.77796111e-01
503.5           	9.77993296e-01
504             	9.78189830e-01
504.5           	9.78385715e-01
505             	9.78580952e-01
505.5           	9.78775544e-01
506             	9.78969493e-01
506.5           	9.79162800e-01
507             	9.79355467e-01
507.5           	9.79547497e-01
508             	9.79738891e-01
508.5           	9.79929651e-01
509             	9.80119780e-01
509.5           	9.80309278e-01
510             	9.80498148e-01
510.5           	9.80686392e-01
511             	9.80874012e-01
511.5           	9.81061009e-01
512             	9.81247386e-01
512.5           	9.81433144e-01
513             	9.81618285e-01
513.5           	9.81802811e-01
514             	9.81986724e-01
514.5           	9.82170026e-01
515             	9.82352718e-01
515.5           	9.82534802e-01
516             	9.82716281e-01
516.5           	9.82897155e-01
517             	9.83077428e-01
517.5           	9.83257100e-01
518             	9.83436173e-01
518.5           	9.83614649e-01
519             	9.83792531e-01
519.5           	9.83969819e-01
520             	9.84146516e-01
520.5           	9.84322623e-01
521             	9.84498143e-01
521.5           	9.84673076e-01
522             	9.84847425e-01
522.5           	9.85021191e-01
523             	9.85194377e-01
523.5           	9.85366984e-01
524             	9.85539013e-01
524.5           	9.85710467e-01
525             	9.85881347e-01
525.5           	9.86051655e-01
526             	9.86221393e-01
526.5           	9.86390562e-01
527             	9.86559165e-01
527.5           	9.86727202e-01
528             	9.86894676e-01
528.5           	9.87061589e-01
529             	9.87227942e-01
529.5           	9.87393736e-01
530             	9.87558975e-01
530.5           	9.87723658e-01
