# Region type : patch outlet
# Faces         : 8
# Area          : 1.00000000e-02
# Scale factor  : 1.00000000e+00
# Time          	areaAverage(T)
159.75          	2.27838829e-01
160.25          	2.34507307e-01
160.75          	2.41162796e-01
161.25          	2.47799101e-01
161.75          	2.54410298e-01
162.25          	2.60990747e-01
162.75          	2.67535104e-01
163.25          	2.74038328e-01
163.75          	2.80495691e-01
164.25          	2.86902775e-01
164.75          	2.93255483e-01
165.25          	2.99550030e-01
165.75          	3.05782948e-01
166.25          	3.11951080e-01
166.75          	3.18051573e-01
167.25          	3.24081877e-01
167.75          	3.30039730e-01
168.25          	3.35923155e-01
168.75          	3.41730448e-01
169.25          	3.47460167e-01
169.75          	3.53111121e-01
170.25          	3.58682359e-01
170.75          	3.64173155e-01
171.25          	3.69582999e-01
171.75          	3.74911582e-01
172.25          	3.80158780e-01
172.75          	3.85324650e-01
173.25          	3.90409406e-01
173.75          	3.95413414e-01
174.25          	4.00337178e-01
174.75          	4.05181325e-01
175.25          	4.09946598e-01
175.75          	4.14633838e-01
176.25          	4.19243982e-01
176.75          	4.23778043e-01
177.25          	4.28237107e-01
177.75          	4.32622320e-01
178.25          	4.36934882e-01
178.75          	4.41176034e-01
179.25          	4.45347057e-01
179.75          	4.49449258e-01
180.25          	4.53483966e-01
180.75          	4.57452529e-01
181.25          	4.61356300e-01
181.75          	4.65196643e-01
182.25          	4.68974917e-01
182.75          	4.72692482e-01
183.25          	4.76350685e-01
183.75          	4.79950867e-01
184.25          	4.83494349e-01
184.75          	4.86982441e-01
185.25          	4.90416430e-01
185.75          	4.93797582e-01
186.25          	4.97127141e-01
186.75          	5.00406327e-01
187.25          	5.03636333e-01
187.75          	5.06818327e-01
188.25          	5.09953449e-01
188.75          	5.13042811e-01
189.25          	5.16087497e-01
189.75          	5.19088564e-01
190.25          	5.22047039e-01
190.75          	5.24963922e-01
191.25          	5.27840183e-01
191.75          	5.30676766e-01
192.25          	5.33474586e-01
192.75          	5.36234534e-01
193.25          	5.38957470e-01
193.75          	5.41644231e-01
194.25          	5.44295627e-01
194.75          	5.46912445e-01
195.25          	5.49495445e-01
195.75          	5.52045366e-01
196.25          	5.54562923e-01
196.75          	5.57048810e-01
197.25          	5.59503696e-01
197.75          	5.61928233e-01
198.25          	5.64323051e-01
198.75          	5.66688762e-01
199.25          	5.69025958e-01
199.75          	5.71335212e-01
200.25          	5.73617082e-01
200.75          	5.75872107e-01
201.25          	5.78100811e-01
201.75          	5.80303702e-01
202.25          	5.82481274e-01
202.75          	5.84634005e-01
203.25          	5.86762360e-01
203.75          	5.88866791e-01
204.25          	5.90947736e-01
204.75          	5.93005622e-01
205.25          	5.95040862e-01
205.75          	5.97053862e-01
206.25          	5.99045012e-01
206.75          	6.01014695e-01
207.25          	6.02963281e-01
207.75          	6.04891134e-01
208.25          	6.06798606e-01
208.75          	6.08686041e-01
209.25          	6.10553773e-01
209.75          	6.12402130e-01
210.25          	6.14231430e-01
210.75          	6.16041985e-01
211.25          	6.17834098e-01
211.75          	6.19608066e-01
212.25          	6.21364179e-01
212.75          	6.23102721e-01
213.25          	6.24823968e-01
213.75          	6.26528191e-01
214.25          	6.28215654e-01
214.75          	6.29886619e-01
215.25          	6.31541337e-01
215.75          	6.33180058e-01
216.25          	6.34803025e-01
216.75          	6.36410477e-01
217.25          	6.38002647e-01
217.75          	6.39579764e-01
218.25          	6.41142053e-01
218.75          	6.42689735e-01
219.25          	6.44223025e-01
219.75          	6.45742135e-01
220.25          	6.47247274e-01
220.75          	6.48738646e-01
221.25          	6.50216452e-01
221.75          	6.51680888e-01
222.25          	6.53132148e-01
222.75          	6.54570423e-01
223.25          	6.55995899e-01
223.75          	6.57408761e-01
224.25          	6.58809187e-01
224.75          	6.60197357e-01
225.25          	6.61573443e-01
225.75          	6.62937619e-01
226.25          	6.64290053e-01
226.75          	6.65630910e-01
227.25          	6.66960354e-01
227.75          	6.68278546e-01
228.25          	6.69585643e-01
228.75          	6.70881801e-01
229.25          	6.72167173e-01
229.75          	6.73441910e-01
230.25          	6.74706159e-01
230.75          	6.75960066e-01
231.25          	6.77203774e-01
231.75          	6.78437426e-01
232.25          	6.79661159e-01
232.75          	6.80875110e-01
233.25          	6.82079413e-01
233.75          	6.83274202e-01
234.25          	6.84459605e-01
234.75          	6.85635752e-01
235.25          	6.86802768e-01
235.75          	6.87960778e-01
236.25          	6.89109903e-01
236.75          	6.90250263e-01
237.25          	6.91381977e-01
237.75          	6.92505160e-01
238.25          	6.93619928e-01
238.75          	6.94726391e-01
239.25          	6.95824662e-01
239.75          	6.96914848e-01
240.25          	6.97997056e-01
240.75          	6.99071392e-01
241.25          	7.00137959e-01
241.75          	7.01196858e-01
242.25          	7.02248190e-01
242.75          	7.03292052e-01
243.25          	7.04328540e-01
243.75          	7.05357751e-01
244.25          	7.06379776e-01
244.75          	7.07394708e-01
245.25          	7.08402636e-01
245.75          	7.09403649e-01
246.25          	7.10397833e-01
246.75          	7.11385274e-01
247.25          	7.12366055e-01
247.75          	7.13340259e-01
248.25          	7.14307966e-01
248.75          	7.15269256e-01
249.25          	7.16224207e-01
249.75          	7.17172895e-01
250.25          	7.18115395e-01
250.75          	7.19051780e-01
251.25          	7.19982124e-01
251.75          	7.20906497e-01
252.25          	7.21824968e-01
252.75          	7.22737607e-01
253.25          	7.23644480e-01
253.75          	7.24545653e-01
254.25          	7.25441191e-01
254.75          	7.26331158e-01
255.25          	7.27215615e-01
255.75          	7.28094624e-01
256.25          	7.28968244e-01
256.75          	7.29836535e-01
257.25          	7.30699555e-01
257.75          	7.31557359e-01
258.25          	7.32410004e-01
258.75          	7.33257544e-01
259.25          	7.34100033e-01
259.75          	7.34937524e-01
260.25          	7.35770067e-01
260.75          	7.36597714e-01
261.25          	7.37420514e-01
261.75          	7.38238517e-01
262.25          	7.39051769e-01
262.75          	7.39860319e-01
263.25          	7.40664212e-01
263.75          	7.41463493e-01
264.25          	7.42258207e-01
264.75          	7.43048398e-01
265.25          	7.43834109e-01
265.75          	7.44615382e-01
266.25          	7.45392258e-01
266.75          	7.46164778e-01
267.25          	7.46932982e-01
267.75          	7.47696909e-01
268.25          	7.48456598e-01
268.75          	7.49212087e-01
269.25          	7.49963412e-01
269.75          	7.50710611e-01
270.25          	7.51453720e-01
270.75          	7.52192775e-01
271.25          	7.52927809e-01
271.75          	7.53658857e-01
272.25          	7.54385954e-01
272.75          	7.55109131e-01
273.25          	7.55828423e-01
273.75          	7.56543861e-01
274.25          	7.57255476e-01
274.75          	7.57963300e-01
275.25          	7.58667364e-01
275.75          	7.59367697e-01
276.25          	7.60064331e-01
276.75          	7.60757293e-01
277.25          	7.61446613e-01
277.75          	7.62132319e-01
278.25          	7.62814440e-01
278.75          	7.63493003e-01
279.25          	7.64168036e-01
279.75          	7.64839565e-01
280.25          	7.65507618e-01
280.75          	7.66172220e-01
281.25          	7.66833398e-01
281.75          	7.67491176e-01
282.25          	7.68145582e-01
282.75          	7.68796638e-01
283.25          	7.69444371e-01
283.75          	7.70088804e-01
284.25          	7.70729961e-01
284.75          	7.71367867e-01
285.25          	7.72002546e-01
285.75          	7.72634019e-01
286.25          	7.73262311e-01
286.75          	7.73887444e-01
287.25          	7.74509442e-01
287.75          	7.75128325e-01
288.25          	7.75744117e-01
288.75          	7.76356840e-01
289.25          	7.76966514e-01
289.75          	7.77573163e-01
290.25          	7.78176806e-01
290.75          	7.78777465e-01
291.25          	7.79375162e-01
291.75          	7.79969916e-01
292.25          	7.80561750e-01
292.75          	7.81150682e-01
293.25          	7.81736733e-01
293.75          	7.82319924e-01
294.25          	7.82900275e-01
294.75          	7.83477804e-01
295.25          	7.84052533e-01
295.75          	7.84624480e-01
296.25          	7.85193665e-01
296.75          	7.85760107e-01
297.25          	7.86323825e-01
297.75          	7.86884839e-01
298.25          	7.87443167e-01
298.75          	7.87998828e-01
299.25          	7.88551841e-01
299.75          	7.89102224e-01
300.25          	7.89649996e-01
300.75          	7.90195175e-01
301.25          	7.90737778e-01
301.75          	7.91277826e-01
302.25          	7.91815334e-01
302.75          	7.92350322e-01
303.25          	7.92882807e-01
303.75          	7.93412807e-01
304.25          	7.93940339e-01
304.75          	7.94465420e-01
305.25          	7.94988070e-01
305.75          	7.95508303e-01
306.25          	7.96026139e-01
306.75          	7.96541594e-01
307.25          	7.97054684e-01
307.75          	7.97565428e-01
308.25          	7.98073841e-01
308.75          	7.98579942e-01
309.25          	7.99083745e-01
309.75          	7.99585269e-01
310.25          	8.00084529e-01
310.75          	8.00581541e-01
311.25          	8.01076323e-01
311.75          	8.01568891e-01
312.25          	8.02059260e-01
312.75          	8.02547446e-01
313.25          	8.03033466e-01
313.75          	8.03517336e-01
314.25          	8.03999071e-01
314.75          	8.04478687e-01
315.25          	8.04956199e-01
315.75          	8.05431623e-01
316.25          	8.05904975e-01
316.75          	8.06376270e-01
317.25          	8.06845523e-01
317.75          	8.07312748e-01
318.25          	8.07777962e-01
318.75          	8.08241179e-01
319.25          	8.08702414e-01
319.75          	8.09161682e-01
320.25          	8.09618997e-01
320.75          	8.10074373e-01
321.25          	8.10527826e-01
321.75          	8.10979370e-01
322.25          	8.11429018e-01
322.75          	8.11876785e-01
323.25          	8.12322685e-01
323.75          	8.12766732e-01
324.25          	8.13208940e-01
324.75          	8.13649322e-01
325.25          	8.14087892e-01
325.75          	8.14524663e-01
326.25          	8.14959649e-01
326.75          	8.15392863e-01
327.25          	8.15824319e-01
327.75          	8.16254028e-01
328.25          	8.16682005e-01
328.75          	8.17108261e-01
329.25          	8.17532811e-01
329.75          	8.17955665e-01
330.25          	8.18376838e-01
330.75          	8.18796340e-01
331.25          	8.19214185e-01
331.75          	8.19630384e-01
332.25          	8.20044950e-01
332.75          	8.20457894e-01
333.25          	8.20869229e-01
333.75          	8.21278965e-01
334.25          	8.21687115e-01
334.75          	8.22093689e-01
335.25          	8.22498700e-01
335.75          	8.22902158e-01
336.25          	8.23304075e-01
336.75          	8.23704461e-01
337.25          	8.24103328e-01
337.75          	8.24500686e-01
338.25          	8.24896545e-01
338.75          	8.25290917e-01
339.25          	8.25683811e-01
339.75          	8.26075239e-01
340.25          	8.26465209e-01
340.75          	8.26853733e-01
341.25          	8.27240820e-01
341.75          	8.27626480e-01
342.25          	8.28010723e-01
342.75          	8.28393559e-01
343.25          	8.28774996e-01
343.75          	8.29155045e-01
344.25          	8.29533714e-01
344.75          	8.29911014e-01
345.25          	8.30286952e-01
345.75          	8.30661538e-01
346.25          	8.31034781e-01
346.75          	8.31406690e-01
347.25          	8.31777273e-01
347.75          	8.32146539e-01
348.25          	8.32514496e-01
348.75          	8.32881153e-01
349.25          	8.33246518e-01
349.75          	8.33610599e-01
350.25          	8.33973405e-01
350.75          	8.34334943e-01
351.25          	8.34695221e-01
351.75          	8.35054247e-01
352.25          	8.35412029e-01
352.75          	8.35768574e-01
353.25          	8.36123890e-01
353.75          	8.36477984e-01
354.25          	8.36830864e-01
354.75          	8.37182537e-01
355.25          	8.37533010e-01
355.75          	8.37882290e-01
356.25          	8.38230384e-01
356.75          	8.38577300e-01
357.25          	8.38923044e-01
357.75          	8.39267622e-01
358.25          	8.39611042e-01
358.75          	8.39953311e-01
359.25          	8.40294434e-01
359.75          	8.40634418e-01
360.25          	8.40973270e-01
360.75          	8.41310995e-01
361.25          	8.41647601e-01
361.75          	8.41983094e-01
362.25          	8.42317478e-01
362.75          	8.42650762e-01
363.25          	8.42982950e-01
363.75          	8.43314048e-01
364.25          	8.43644063e-01
364.75          	8.43973000e-01
365.25          	8.44300865e-01
365.75          	8.44627663e-01
366.25          	8.44953400e-01
366.75          	8.45278082e-01
367.25          	8.45601714e-01
367.75          	8.45924302e-01
368.25          	8.46245851e-01
368.75          	8.46566366e-01
369.25          	8.46885852e-01
369.75          	8.47204315e-01
370.25          	8.47521760e-01
370.75          	8.47838192e-01
371.25          	8.48153616e-01
371.75          	8.48468036e-01
372.25          	8.48781459e-01
372.75          	8.49093888e-01
373.25          	8.49405329e-01
373.75          	8.49715786e-01
374.25          	8.50025265e-01
374.75          	8.50333768e-01
375.25          	8.50641303e-01
375.75          	8.50947872e-01
376.25          	8.51253480e-01
376.75          	8.51558132e-01
377.25          	8.51861833e-01
377.75          	8.52164586e-01
378.25          	8.52466396e-01
378.75          	8.52767268e-01
379.25          	8.53067204e-01
379.75          	8.53366211e-01
380.25          	8.53664291e-01
380.75          	8.53961448e-01
381.25          	8.54257688e-01
381.75          	8.54553014e-01
382.25          	8.54847429e-01
382.75          	8.55140937e-01
